INCIDENT NUMBER,INCIDENT REGION,RESPONSE TYPE,INCIDENT START DATE,INCIDENT START TIME,SUBJECT NUMBER,SUBJECT GENDER,SUBJECT AGE,SUBJECT STATE,SUBJECT COUNTRY,ACTIVITY,SITUATION,LOCATION FOUND LATITUDE,LOCATION FOUND LONGITUDE,LOCATION FOUND ELEVATION,FOUND IN SEARCH AREA,TECHNIQUE,NUMBER OF RANGERS INVOLVED,OTHER AGENCY INVOLVEMENT,LAST KNOWN POINT LAND CLASS,LAST KNOWN POINT STATE LAND NAME,LAST KNOWN POINT COUNTY,LAST KNOWN POINT MUNICIPALITY,INCIDENT ADIRONDACK PARK,INCIDENT CATSKILL PARK,INCIDENT CLOSED DATE,INCIDENT CLOSED TIME,NYS Municipal Boundaries,New York Zip Codes,Location,Counties
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY-2018-WS-353,5,Rescue,1/1/2019,5:45 AM,1,F,47,NY,US,Hiking,Lost,43.57117,-73.69359,1135,TRUE,Assist/own power,2,TRUE,Forest Preserve,Lake George Wild Forest,WARREN,BOLTON,TRUE,FALSE,1/1/2019,7:50 AM,826,801,POINT (-73.69359 43.57117),2183
NY-2018-WS-352,5,Rescue,1/1/2019,9:34 AM,1,M,28,NY,US,Hiking,Injured,44.15187,-74.98706,2497,FALSE,Assist/own power,4,TRUE,Forest Preserve,Giant Mt Wilderness Area,ESSEX,KEENE,TRUE,FALSE,1/1/2019,1:43 AM,332,1617,POINT (-74.98706 44.15187),2140
NY-2018-WS-351,8,Search,12/31/2018,1:35 AM,1,M,71,NY,US,Walking,Missing,43.1758,-78.19731,658,TRUE,Dive Team,8,TRUE,Private Land,NA,ORLEANS,BARRE,FALSE,FALSE,1/1/2019,10:00 AM,506,170,POINT (-78.19731 43.1758),626
NY-2018-WS-350,5,Rescue,12/31/2018,1:30 AM,2,F,11,CT,US,Hiking,Stranded,43.41132,-73.72083,480,TRUE,Assist/own power,2,FALSE,Forest Preserve,Lake George Wild Forest,WARREN,LAKE GEORGE,TRUE,FALSE,12/31/2018,4:30 AM,820,128,POINT (-73.72083 43.41132),2183
NY-2018-WS-350,5,Rescue,12/31/2018,1:30 AM,1,F,37,CT,US,Hiking,Stranded,43.41132,-73.72083,480,TRUE,Assist/own power,2,FALSE,Forest Preserve,Lake George Wild Forest,WARREN,LAKE GEORGE,TRUE,FALSE,12/31/2018,4:30 AM,820,128,POINT (-73.72083 43.41132),2183
NY-2018-WS-350,5,Rescue,12/31/2018,1:30 AM,3,F,8,CT,US,Hiking,Stranded,43.41132,-73.72083,480,TRUE,Assist/own power,2,FALSE,Forest Preserve,Lake George Wild Forest,WARREN,LAKE GEORGE,TRUE,FALSE,12/31/2018,4:30 AM,820,128,POINT (-73.72083 43.41132),2183
NY-2018-WS-349,3,Search,12/31/2018,12:15 PM,1,M,79,NY,US,Walking,Missing,41.61233,-74.30353,345,TRUE,Assist/own power,11,TRUE,Private Land,N/A,ORANGE,CRAWFORD,FALSE,FALSE,1/1/2019,11:00 AM,879,1001,POINT (-74.30353 41.61233),2182
NY-2018-WS-348,4,Search,12/29/2018,5:45 AM,1,F,60,NY,US,Walking,Missing,42.36947,-74.12463,984,TRUE,Assist/own power,2,TRUE,Private Land,none,GREENE,DURHAM,FALSE,FALSE,12/29/2018,8:00 AM,758,114,POINT (-74.12463 42.36947),2087
NY-2018-WS-347,5,Rescue,12/29/2018,10:58 AM,1,M,50,PA,US,Climbing:Rock/Ice,Injured,44.24525,-73.87443,2600,TRUE,Technical Rope; Vehicle/boat evacuation,8,TRUE,Forest Preserve,Sentinel Wilderness,ESSEX,KEENE,TRUE,FALSE,12/29/2018,2:30 AM,442,271,POINT (-73.87443 44.24525),2084
NY-2018-WS-346,4,Search,12/26/2018,2:50 AM,1,M,60,NY,US,Hiking,Lost,42.17673,-74.1062,2797,TRUE,Assist/own power,2,TRUE,Forest Preserve,Kaaterskill Wild Forest,GREENE,HUNTER,FALSE,TRUE,12/26/2018,5:00 AM,755,121,POINT (-74.1062 42.17673),2087
NY-2018-WS-345,3,Search,12/25/2018,6:41 AM,1,M,30,NY,US,Despondent,Missing,41.71818,-74.39418,351,FALSE,Assist/own power,15,TRUE,OPRHP State Land,Sam's Point Preserve,ULSTER,WAWARSING,FALSE,FALSE,12/26/2018,8:30 AM,407,122,POINT (-74.39418 41.71818),2182
NY-2018-WS-344,3,Recovery,12/25/2018,4:20 AM,1,M,41,MD,US,Climbing:Rock/Ice,Injured,41.7503,-74.17324,1000,TRUE,Carry out by foot; Technical Rope,4,TRUE,Private Land,N/A,ULSTER,ROCHESTER,FALSE,FALSE,12/25/2018,6:10 AM,413,190,POINT (-74.17324 41.7503),2182
NY-2018-WS-343,5,Rescue,12/22/2018,3:13 AM,2,F,25,NY,US,Hiking,Stranded,43.42364,-73.74765,1855,TRUE,Vehicle/boat evacuation,2,TRUE,Forest Preserve,Lake George Wild Forest,WARREN,LAKE GEORGE,TRUE,FALSE,12/22/2018,4:38 AM,820,128,POINT (-73.74765000000001 43.42364),2183
NY-2018-WS-343,5,Rescue,12/22/2018,3:13 AM,1,M,26,NY,US,Hiking,Stranded,43.42364,-73.74765,1855,TRUE,Vehicle/boat evacuation,2,TRUE,Forest Preserve,Lake George Wild Forest,WARREN,LAKE GEORGE,TRUE,FALSE,12/22/2018,4:38 AM,820,128,POINT (-73.74765000000001 43.42364),2183
NY-2018-WS-342,5,Rescue,12/21/2018,3:00 AM,1,F,36,NY,US,Hiking,Lost,44.12995,-73.95586,4602,TRUE,Assist/own power,4,TRUE,Forest Preserve,E. High Peaks Wilderness,ESSEX,NORTH ELBA,TRUE,FALSE,12/21/2018,11:00 AM,442,272,POINT (-73.95586000000002 44.12995),2084
NY-2018-WS-341,5,Recovery,12/18/2018,8:07 AM,1,M,52,NY,US,Despondent,Illness,44.02448,-73.68698,995,TRUE,Carry out by foot,1,TRUE,Forest Preserve,Hammond Pond Wild Forest,ESSEX,NORTH HUDSON,TRUE,FALSE,12/18/2018,9:06 AM,429,136,POINT (-73.68698 44.02448),2084
NY-2018-WS-338,5,Rescue,12/16/2018,9:21 AM,1,,,NY,US,Skiing,Stranded,43.67578,-73.62522,2800,FALSE,Assist/own power; Technical Rope,10,TRUE,Forest Preserve,Siamese Ponds Wilderness,WARREN,JOHNSBURG,TRUE,FALSE,12/16/2018,12:18 PM,823,98,POINT (-73.62522 43.67578),2183
NY-2018-WS-337,3,Search,12/12/2018,4:47 AM,1,F,9,NY,US,Criminal,Missing,41.83005,-74.07664,230,FALSE,Vehicle/boat evacuation,7,TRUE,Private Land,n/a,ULSTER,ROSENDALE,FALSE,FALSE,12/12/2018,6:00 AM,412,898,POINT (-74.07664 41.83005),2182
NY-2018-WS-336,7,Rescue,12/12/2018,2:00 AM,2,F,29,NY,US,Hiking,Stranded,42.80072,-76.02557,1731,FALSE,Vehicle/boat evacuation,2,FALSE,State Forests,Morgan Hill State Forest,ONONDAGA,FABIUS,FALSE,FALSE,12/12/2018,3:30 AM,700,696,POINT (-76.02557 42.80072),2132
NY-2018-WS-336,7,Rescue,12/12/2018,2:00 AM,1,F,28,NY,US,Hiking,Stranded,42.80072,-76.02557,1731,FALSE,Vehicle/boat evacuation,2,FALSE,State Forests,Morgan Hill State Forest,ONONDAGA,FABIUS,FALSE,FALSE,12/12/2018,3:30 AM,700,696,POINT (-76.02557 42.80072),2132
NY-2018-WS-335,9,Rescue,12/12/2018,7:40 AM,1,M,68,NY,US,Hunting,Illness,42.24742,-78.66043,1800,TRUE,Assist/own power; Vehicle/boat evacuation,2,TRUE,State Forests,McCarty SF,CATTARAUGUS,GREAT VALLEY,FALSE,FALSE,12/12/2018,10:00 AM,360,1719,POINT (-78.66043 42.24742),2034
NY-2018-WS-334,4,Rescue,12/10/2018,10:30 AM,1,M,26,NY,US,Hunting,Injured,42.58788,-74.49577,1951,FALSE,Vehicle/boat evacuation,1,TRUE,State Forests,Mallet Pond,SCHOHARIE,FULTON,FALSE,FALSE,12/10/2018,2:00 AM,151,1312,POINT (-74.49577 42.58788),629
NY-2018-WS-333,5,Search,12/11/2018,2:44 AM,1,M,38,ON,CA,Hiking,Lost,44.14339,-73.87723,5020,TRUE,Assist/own power,12,TRUE,Forest Preserve,E. High Peaks Wilderness,ESSEX,NORTH ELBA,TRUE,FALSE,12/12/2018,1:45 AM,442,272,POINT (-73.87723 44.14339),2084
NY-2018-WS-332,8,Search,12/2/2018,7:00 AM,1,M,57,NY,US,Despondent,Missing,43.14792,-77.71059,559,TRUE,Carry out by foot,5,TRUE,Private Land,N/A,MONROE,GATES,FALSE,FALSE,12/4/2018,5:00 AM,549,1683,POINT (-77.71059 43.14792),2093
NY-2018-WS-331,7,Search,12/3/2018,5:50 AM,1,F,43,NY,US,Skiing,Lost,42.40517,-76.31427,1747,TRUE,Vehicle/boat evacuation,2,TRUE,State Forests,Hammond Hill State Forest,TOMPKINS,DRYDEN,FALSE,FALSE,12/4/2018,12:12 PM,714,1763,POINT (-76.31427 42.40517),2181
NY-2018-WS-331,7,Search,12/3/2018,5:50 AM,2,F,56,NY,US,Skiing,Lost,42.40517,-76.31427,1747,TRUE,Vehicle/boat evacuation,2,TRUE,State Forests,Hammond Hill State Forest,TOMPKINS,DRYDEN,FALSE,FALSE,12/4/2018,12:12 PM,714,1763,POINT (-76.31427 42.40517),2181
NY-2018-WS-330,5,Recovery,12/3/2018,3:42 AM,1,M,51,ON,CA,Hiking,Illness,43.95811,-74.49534,2630,TRUE,Carry out by foot,3,TRUE,Forest Preserve,Sargent Ponds Wild Forest,HAMILTON,LONG LAKE,TRUE,FALSE,12/3/2018,9:51 AM,864,130,POINT (-74.49534 43.95811),622
NY-2018-WS-329,5,Rescue,12/1/2018,4:01 AM,1,F,29,ON,CA,Hiking,Lost,44.33535,-73.94321,3508,TRUE,Vehicle/boat evacuation,2,TRUE,Forest Preserve,High Peaks Wilderness,ESSEX,WILMINGTON,TRUE,FALSE,12/1/2018,7:20 AM,430,275,POINT (-73.94321 44.33535),2084
NY-2018-WS-328,6,Search,11/27/2018,7:15 AM,1,M,50,NY,US,Hunting,Lost,44.36704,-75.30806,609,TRUE,Assist/own power,4,TRUE,State Forests,Wolf Lake State Forest,ST LAWRENCE,EDWARDS,FALSE,FALSE,11/27/2018,8:30 AM,328,1525,POINT (-75.30806 44.36704),2140
NY-2018-WS-327,3,Rescue,11/26/2018,8:22 AM,1,M,47,NY,US,Hunting,Injured,41.70949,-74.75311,1324,FALSE,Vehicle/boat evacuation,1,TRUE,Private Land,N/A,SULLIVAN,BETHEL,FALSE,FALSE,11/26/2018,10:30 AM,664,1046,POINT (-74.75311000000002 41.70949),2180
NY-2018-WS-326,5,Rescue,11/25/2018,2:10 AM,1,F,21,NY,US,Hiking,Injured,43.47071,-73.62174,682,TRUE,Carry out by foot; Vehicle/boat evacuation,4,TRUE,Private Land,Lake George Land Conservancy,WASHINGTON,FORT ANN,TRUE,FALSE,11/25/2018,3:41 AM,727,127,POINT (-73.62174 43.47071),2184
NY-2018-WS-325,5,Search,11/25/2018,1:32 AM,1,M,47,NY,US,Hunting,Overdue,43.21427,-73.91564,1854,TRUE,Assist/own power,3,TRUE,Forest Preserve,Wilcox Lake Wild Forest,SARATOGA,CORINTH,TRUE,FALSE,11/25/2018,6:00 AM,1008,807,POINT (-73.91564 43.21427),2141
NY-2018-WS-324,9,Search,11/19/2018,2:45 AM,1,M,16,NY,US,Hunting,Lost,42.30588,-79.17516,2072,FALSE,Assist/own power,3,TRUE,State Forests,Boutwell State Forest,CHAUTAUQUA,CHARLOTTE,FALSE,FALSE,11/19/2018,4:30 AM,218,1704,POINT (-79.17516 42.30588),2035
NY-2018-WS-324,9,Search,11/19/2018,2:45 AM,2,M,17,NY,US,Hunting,Lost,42.30588,-79.17516,2072,FALSE,Assist/own power,3,TRUE,State Forests,Boutwell State Forest,CHAUTAUQUA,CHARLOTTE,FALSE,FALSE,11/19/2018,4:30 AM,218,1704,POINT (-79.17516 42.30588),2035
NY-2018-WS-323,6,Search,11/15/2018,12:18 PM,2,M,63,NY,US,Hunting,Overdue,44.46718,-74.75713,1256,TRUE,Assist/own power,6,TRUE,Forest Preserve,White Hill Wild Forest,ST LAWRENCE,PARISHVILLE,TRUE,FALSE,11/15/2018,4:00 AM,316,1593,POINT (-74.75713 44.46718),2140
NY-2018-WS-323,6,Search,11/15/2018,12:18 PM,1,M,64,NY,US,Hunting,Overdue,44.46718,-74.75713,1256,TRUE,Assist/own power,6,TRUE,Forest Preserve,White Hill Wild Forest,ST LAWRENCE,PARISHVILLE,TRUE,FALSE,11/15/2018,4:00 AM,316,1593,POINT (-74.75713 44.46718),2140
NY-2018-WS-322,5,Search,11/12/2018,7:25 AM,1,M,75,NY,US,Hunting,Lost,43.125,-74.4493,1562,TRUE,Assist/own power,1,TRUE,Private Land,Private Land,FULTON,CAROGA,TRUE,FALSE,11/12/2018,9:00 AM,387,1227,POINT (-74.4493 43.125),2085
NY-2018-WS-321,7,Search,11/12/2018,10:49 AM,1,M,20,NY,US,Hunting,Lost,43.50938,-76.06156,536,TRUE,Assist/own power,2,FALSE,State Forests,Altmar State Forest,OSWEGO,ALBION,FALSE,FALSE,11/12/2018,12:10 PM,252,683,POINT (-76.06156 43.50938),2135
NY-2018-WS-321,7,Search,11/12/2018,10:49 AM,2,F,19,NY,US,Hunting,Lost,43.50938,-76.06156,536,TRUE,Assist/own power,2,FALSE,State Forests,Altmar State Forest,OSWEGO,ALBION,FALSE,FALSE,11/12/2018,12:10 PM,252,683,POINT (-76.06156 43.50938),2135
NY-2018-WS-320,5,Rescue,11/10/2018,6:41 AM,1,M,22,NY,US,Hiking,Stranded,44.14103,-73.92794,3400,TRUE,Assist/own power; Vehicle/boat evacuation,3,TRUE,Forest Preserve,High Peaks Wilderness,ESSEX,KEENE,TRUE,FALSE,11/14/2018,5:00 AM,442,272,POINT (-73.92794 44.14103),2084
NY-2018-WS-319,4,Search,11/9/2018,5:25 AM,2,F,31,CA,US,Hiking,Stranded,42.12311,-74.08763,2205,TRUE,Assist/own power,2,FALSE,Forest Preserve,Indian Head Wilderness Area,GREENE,HUNTER,FALSE,TRUE,11/9/2018,8:00 AM,755,121,POINT (-74.08763 42.12311),2087
NY-2018-WS-319,4,Search,11/9/2018,5:25 AM,1,M,33,CA,US,Hiking,Stranded,42.12311,-74.08763,2205,TRUE,Assist/own power,2,FALSE,Forest Preserve,Indian Head Wilderness Area,GREENE,HUNTER,FALSE,TRUE,11/9/2018,8:00 AM,755,121,POINT (-74.08763 42.12311),2087
NY-2018-WS-318,4,Search,11/8/2018,4:25 AM,1,M,64,NY,US,Despondent,Missing,42.43224,-73.77931,34,FALSE,Vehicle/boat evacuation,6,TRUE,OPRHP State Land,Schodack Island State Park,RENSSELAER,SCHODACK,FALSE,FALSE,5/1/2019,9:06 AM,752,1297,POINT (-73.77931 42.43224),2087
NY-2018-WS-317,5,Rescue,11/6/2018,10:00 AM,1,F,55,NY,US,Hiking,Injured,44.40173,-73.51321,2158,TRUE,Vehicle/boat evacuation,5,FALSE,Forest Preserve,Taylor Pond Wild Forest,ESSEX,CHESTERFIELD,TRUE,FALSE,11/6/2018,3:08 AM,454,273,POINT (-73.51321 44.40173),2084
NY-2018-WS-316,5,Search,11/5/2018,11:08 AM,1,M,20,NY,US,Hunting,Lost,44.18798,-74.09588,3110,TRUE,Assist/own power,9,TRUE,Forest Preserve,Western High Peaks (Northville-Placid),ESSEX,NORTH ELBA,TRUE,FALSE,11/6/2018,2:00 AM,430,275,POINT (-74.09588 44.18798),2084
NY-2018-WS-315,4,Search,10/31/2018,7:20 AM,1,M,61,NY,US,Hunting,Overdue,41.88517,-75.19131,1195,TRUE,Assist/own power,2,TRUE,Private Land,n/a,DELAWARE,HANCOCK,FALSE,FALSE,10/31/2018,9:30 AM,565,396,POINT (-75.19131 41.88517),2039
NY-2018-WS-314,5,Search,10/31/2018,6:01 AM,1,F,46,NY,US,Hiking,Lost,44.14822,-73.76576,1303,TRUE,Assist/own power,2,TRUE,Forest Preserve,High Peaks Wilderness Area,ESSEX,KEENE,TRUE,FALSE,10/31/2018,8:00 AM,442,272,POINT (-73.76576 44.14822),2084
NY-2018-WS-313,5,Rescue,10/30/2018,1:25 AM,2,M,20,NY,US,Hiking,Stranded,44.1478,-73.92919,3200,TRUE,Assist/own power; Vehicle/boat evacuation,7,TRUE,Forest Preserve,High Peaks Wilderness,ESSEX,KEENE,TRUE,FALSE,10/30/2018,6:34 AM,430,275,POINT (-73.92919 44.1478),2084
NY-2018-WS-313,5,Rescue,10/30/2018,1:25 AM,1,M,19,NY,US,Hiking,Injured,44.1478,-73.92919,3200,TRUE,Assist/own power; Vehicle/boat evacuation,7,TRUE,Forest Preserve,High Peaks Wilderness,ESSEX,KEENE,TRUE,FALSE,10/30/2018,6:34 AM,430,275,POINT (-73.92919 44.1478),2084
NY-2018-WS-312,5,Search,10/29/2018,3:45 AM,1,M,69,NY,US,Hunting,Lost,43.28415,-74.74976,588,TRUE,Assist/own power,6,TRUE,Forest Preserve,Ferris Lake Wild Forest,HERKIMER,SALISBURY,TRUE,FALSE,10/29/2018,9:45 AM,670,1370,POINT (-74.74976 43.28415),2088
NY-2018-WS-311,8,Search,10/27/2018,6:30 AM,1,F,19,NY,US,Runaway,Missing,43.00975,-77.58077,672,FALSE,Assist/own power,4,TRUE,Private Land,NA,MONROE,MENDON,FALSE,FALSE,10/27/2018,12:30 PM,544,242,POINT (-77.58077 43.00975),2093
NY-2018-WS-310,6,Search,10/26/2018,9:56 AM,1,M,53,NY,US,Hunting,Lost,43.69116,-75.21313,1428,FALSE,Assist/own power,4,TRUE,Forest Preserve,Independence River Wild Forest,LEWIS,GREIG,TRUE,FALSE,10/26/2018,11:59 AM,623,769,POINT (-75.21313 43.69116),623
NY-2018-WS-309,5,Rescue,10/25/2018,1:22 AM,1,F,42,TX,US,Hiking,Injured,44.15905,-73.97962,3350,TRUE,Assist/own power; Vehicle/boat evacuation,9,TRUE,Forest Preserve,High Peaks Wilderness,ESSEX,NORTH ELBA,TRUE,FALSE,10/25/2018,5:00 AM,430,275,POINT (-73.97962 44.15905000000001),2084
NY-2018-WS-308,5,Rescue,10/24/2018,4:41 AM,1,F,27,NY,US,Hiking,Illness,44.12489,-73.90087,3500,TRUE,Aircraft evacuation; Assist/own power; Carry out by foot,11,TRUE,Forest Preserve,High Peaks,ESSEX,KEENE,TRUE,FALSE,10/25/2018,12:00 PM,442,272,POINT (-73.90087 44.12489),2084
NY-2018-WS-307,5,Search,10/22/2018,5:42 AM,2,F,36,NY,US,Hiking,Lost,43.54081,-73.54077,1420,TRUE,Airboat; Assist/own power,2,TRUE,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,TRUE,FALSE,10/22/2018,10:00 AM,727,91,POINT (-73.54077 43.54081),2184
NY-2018-WS-307,5,Search,10/22/2018,5:42 AM,3,M,35,NY,US,Hiking,Lost,43.54081,-73.54077,1420,TRUE,Airboat; Assist/own power,2,TRUE,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,TRUE,FALSE,10/22/2018,10:00 AM,727,91,POINT (-73.54077 43.54081),2184
NY-2018-WS-307,5,Search,10/22/2018,5:42 AM,1,M,15,NY,US,Hiking,Lost,43.54081,-73.54077,1420,TRUE,Airboat; Assist/own power,2,TRUE,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,TRUE,FALSE,10/22/2018,10:00 AM,727,91,POINT (-73.54077 43.54081),2184
NY-2018-WS-307,5,Search,10/22/2018,5:42 AM,4,M,10,NY,US,Hiking,Lost,43.54081,-73.54077,1420,TRUE,Airboat; Assist/own power,2,TRUE,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,TRUE,FALSE,10/22/2018,10:00 AM,727,91,POINT (-73.54077 43.54081),2184
NY-2018-WS-307,5,Search,10/22/2018,5:42 AM,5,F,8,NY,US,Hiking,Lost,43.54081,-73.54077,1420,TRUE,Airboat; Assist/own power,2,TRUE,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,TRUE,FALSE,10/22/2018,10:00 AM,727,91,POINT (-73.54077 43.54081),2184
NY-2018-WS-306,5,Rescue,10/22/2018,3:45 AM,1,F,21,ON,CA,Hiking,Injured,44.12347,-73.8149,1900,TRUE,Vehicle/boat evacuation,2,TRUE,Forest Preserve,AMR Easement,ESSEX,KEENE,TRUE,FALSE,10/22/2018,4:37 AM,442,272,POINT (-73.8149 44.12347),2084
NY-2018-WS-305,5,Rescue,10/19/2018,3:03 AM,1,F,25,NY,US,Hiking,Injured,44.21716,-73.88436,2300,TRUE,Assist/own power,2,TRUE,Forest Preserve,High Peaks Wilderness,ESSEX,KEENE,TRUE,FALSE,10/19/2018,5:21 AM,430,275,POINT (-73.88436 44.21716),2084
NY-2018-WS-304,5,Search,10/18/2018,8:20 AM,1,M,35,NY,US,Hunting,Lost,43.11998,-73.79141,579,FALSE,Assist/own power,2,TRUE,State Forests,Daniels Road State Forest,SARATOGA,GREENFIELD,FALSE,FALSE,10/19/2018,12:00 PM,1004,95,POINT (-73.79141 43.11998),2141
NY-2018-WS-303,5,Rescue,10/16/2018,6:43 AM,1,F,19,NY,US,Hiking,Injured,44.14217,-73.94953,2858,FALSE,Carry out by foot; Vehicle/boat evacuation,9,TRUE,Forest Preserve,E. High Peaks Wilderness,ESSEX,NORTH ELBA,TRUE,FALSE,10/16/2018,11:38 AM,442,272,POINT (-73.94953 44.14217),2084
NY-2018-WS-302,5,Rescue,10/16/2018,4:14 AM,1,F,33,ON,CA,Hiking,Injured,44.18909,-73.83182,2500,TRUE,Carry out by foot,7,TRUE,Forest Preserve,E. High Peaks Wilderness,ESSEX,KEENE,TRUE,FALSE,10/16/2018,8:15 AM,442,272,POINT (-73.83182 44.18909),2084
NY-2018-WS-301,5,Search,10/15/2018,10:50 AM,1,M,57,NY,US,Hiking,Overdue,43.62592,-73.58865,1050,TRUE,Assist/own power,2,TRUE,Forest Preserve,Lake George Wild Forest,WARREN,BOLTON,TRUE,FALSE,10/16/2018,9:00 AM,826,801,POINT (-73.58865 43.62592),2183
NY-2018-WS-300,5,Search,10/15/2018,6:48 AM,2,M,28,NY,US,Hiking,Stranded,43.51487,-73.59979,1894,TRUE,Assist/own power,2,TRUE,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,TRUE,FALSE,10/16/2018,12:06 PM,727,91,POINT (-73.59979 43.51487),2184
NY-2018-WS-300,5,Search,10/15/2018,6:48 AM,1,F,30,OH,US,Hiking,Stranded,43.51487,-73.59979,1894,TRUE,Assist/own power,2,TRUE,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,TRUE,FALSE,10/16/2018,12:06 PM,727,91,POINT (-73.59979 43.51487),2184
NY-2018-WS-299,6,Search,10/15/2018,4:20 AM,1,M,51,NY,US,Hunting,Lost,44.11406,-75.3773,937,FALSE,Assist/own power,2,TRUE,Private Land,Private Property,LEWIS,DIANA,FALSE,FALSE,10/15/2018,5:22 AM,624,1574,POINT (-75.3773 44.11406),623
NY-2018-WS-298,5,Rescue,10/15/2018,12:23 PM,1,F,20,NY,US,Hiking,Injured,44.39007,-73.85954,2040,FALSE,Carry out by foot,2,TRUE,Forest Preserve,Wilmington Wild Forest,ESSEX,WILMINGTON,TRUE,FALSE,10/15/2018,1:45 AM,417,340,POINT (-73.85954 44.39007),2084
NY-2018-WS-297,5,Search,10/14/2018,3:16 AM,2,F,22,NY,US,Hiking,Lost,44.15133,-73.76154,1549,TRUE,Assist/own power,2,TRUE,Forest Preserve,Giant Mountain Wilderness Area,ESSEX,KEENE,TRUE,FALSE,10/14/2018,4:45 AM,442,272,POINT (-73.76154 44.15133),2084
NY-2018-WS-297,5,Search,10/14/2018,3:16 AM,1,F,23,NY,US,Hiking,Lost,44.15133,-73.76154,1549,TRUE,Assist/own power,2,TRUE,Forest Preserve,Giant Mountain Wilderness Area,ESSEX,KEENE,TRUE,FALSE,10/14/2018,4:45 AM,442,272,POINT (-73.76154 44.15133),2084
NY-2018-WS-296,5,Search,10/13/2018,9:09 AM,2,M,24,NY,US,Hiking,Lost,44.16061,-73.7969,2098,FALSE,Assist/own power,2,FALSE,Forest Preserve,High Peaks,ESSEX,KEENE,TRUE,FALSE,10/14/2018,12:45 PM,442,272,POINT (-73.7969 44.160610000000005),2084
NY-2018-WS-296,5,Search,10/13/2018,9:09 AM,1,M,25,NY,US,Hiking,Lost,44.16061,-73.7969,2098,FALSE,Assist/own power,2,FALSE,Forest Preserve,High Peaks,ESSEX,KEENE,TRUE,FALSE,10/14/2018,12:45 PM,442,272,POINT (-73.7969 44.160610000000005),2084
NY-2018-WS-295,6,Rescue,10/12/2018,1:15 AM,1,F,73,AZ,US,Hiking,Injured,43.73834,-74.91307,2284,TRUE,Carry out by foot,7,TRUE,Forest Preserve,Fulton Chain Wild Forest,HERKIMER,WEBB,TRUE,FALSE,10/12/2018,4:30 AM,666,1279,POINT (-74.91307 43.73834),2088
NY-2018-WS-294,6,Search,10/11/2018,10:47 AM,1,M,80,NY,US,Hiking,Lost,44.59009,-74.57881,1385,TRUE,Assist/own power,6,TRUE,Private Land,Private,ST LAWRENCE,HOPKINTON,TRUE,FALSE,10/11/2018,6:50 AM,177,301,POINT (-74.57881 44.59009),621
NY-2018-WS-293,5,Search,10/10/2018,7:02 AM,1,M,24,NY,US,Hiking,Overdue,43.59981,-73.53665,1750,TRUE,Assist/own power,1,TRUE,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,TRUE,FALSE,10/10/2018,10:30 AM,729,102,POINT (-73.53665 43.59981),2184
NY-2018-WS-293,5,Search,10/10/2018,7:02 AM,2,F,22,NY,US,Hiking,Overdue,43.59981,-73.53665,1750,TRUE,Assist/own power,1,TRUE,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,TRUE,FALSE,10/10/2018,10:30 AM,729,102,POINT (-73.53665 43.59981),2184
NY-2018-WS-292,5,Rescue,10/10/2018,9:32 AM,1,F,67,RI,US,Boating,Illness,44.21387,-74.37371,1565,TRUE,Vehicle/boat evacuation,1,TRUE,Forest Preserve,Saranac Lakes Wild Forest,FRANKLIN,TUPPER LAKE,TRUE,FALSE,10/10/2018,11:42 AM,183,305,POINT (-74.37371 44.21387),621
NY-2018-WS-291,6,Search,10/9/2018,8:26 AM,1,M,30,NY,US,Hunting,Lost,44.4533,-75.64276,289,TRUE,Assist/own power,2,TRUE,State Forests,Lonesome Bay State Forest,ST LAWRENCE,HAMMOND,FALSE,FALSE,10/9/2018,11:15 AM,320,1527,POINT (-75.64276 44.4533),2140
NY-2018-WS-291,6,Search,10/9/2018,8:26 AM,2,M,39,NY,US,Hunting,Lost,44.4533,-75.64276,289,TRUE,Assist/own power,2,TRUE,State Forests,Lonesome Bay State Forest,ST LAWRENCE,HAMMOND,FALSE,FALSE,10/9/2018,11:15 AM,320,1527,POINT (-75.64276 44.4533),2140
NY-2018-WS-290,8,Search,10/8/2018,9:00 AM,1,M,14,NY,US,Hunting,Overdue,42.54587,-77.87664,1900,TRUE,Assist/own power,2,TRUE,Wildlife Management Area,Rattlesnake Hill WMA,LIVINGSTON,NUNDA,FALSE,FALSE,10/9/2018,1:00 AM,738,1775,POINT (-77.87664 42.54587),2091
NY-2018-WS-290,8,Search,10/8/2018,9:00 AM,2,M,35,NY,US,Hunting,Overdue,42.54587,-77.87664,1900,TRUE,Assist/own power,2,TRUE,Wildlife Management Area,Rattlesnake Hill WMA,LIVINGSTON,NUNDA,FALSE,FALSE,10/9/2018,1:00 AM,738,1775,POINT (-77.87664 42.54587),2091
