INCIDENT NUMBER,INCIDENT REGION,RESPONSE TYPE,INCIDENT START DATE,INCIDENT START TIME,SUBJECT NUMBER,SUBJECT GENDER,SUBJECT AGE,SUBJECT STATE,SUBJECT COUNTRY,ACTIVITY,SITUATION,LOCATION FOUND LATITUDE,LOCATION FOUND LONGITUDE,LOCATION FOUND ELEVATION,FOUND IN SEARCH AREA,TECHNIQUE,NUMBER OF RANGERS INVOLVED,OTHER AGENCY INVOLVEMENT,LAST KNOWN POINT LAND CLASS,LAST KNOWN POINT STATE LAND NAME,LAST KNOWN POINT COUNTY,LAST KNOWN POINT MUNICIPALITY,INCIDENT ADIRONDACK PARK,INCIDENT CATSKILL PARK,INCIDENT CLOSED DATE,INCIDENT CLOSED TIME,NYS Municipal Boundaries,New York Zip Codes,Location,Counties
NY-2014-WS-023,5,Rescue,3/18/2014,1:46 AM,1,F,70,NY,US,Skiing,Injured,43.79023,-74.79264,1840,TRUE,Vehicle/boat evacuation,2,TRUE,Forest Preserve,Pigeon Lake Wilderness,HAMILTON,INLET,TRUE,FALSE,3/18/2014,3:30 AM,866,565,POINT (-74.79264 43.79023000000001),622
NY-2014-WS-022,3,Rescue,3/17/2014,3:40 AM,1,M,29,NJ,US,Hiking,Illness,42.00063,-74.39203,3966,FALSE,Assist/own power,4,TRUE,Forest Preserve,Slide Mountain Wilderness,ULSTER,SHANDAKEN,FALSE,TRUE,3/17/2014,11:00 AM,410,257,POINT (-74.39203 42.00063),2182
NY-2014-WS-022,3,Rescue,3/17/2014,3:40 AM,2,M,34,PA,US,Hiking,Illness,42.00063,-74.39203,3966,FALSE,Assist/own power,4,TRUE,Forest Preserve,Slide Mountain Wilderness,ULSTER,SHANDAKEN,FALSE,TRUE,3/17/2014,11:00 AM,410,257,POINT (-74.39203 42.00063),2182
NY-2014-WS-022,3,Rescue,3/17/2014,3:40 AM,3,M,33,NJ,US,Hiking,Illness,42.00063,-74.39203,3966,FALSE,Assist/own power,4,TRUE,Forest Preserve,Slide Mountain Wilderness,ULSTER,SHANDAKEN,FALSE,TRUE,3/17/2014,11:00 AM,410,257,POINT (-74.39203 42.00063),2182
NY-2014-WS-021,5,Rescue,3/17/2014,1:01 AM,1,F,62,NY,US,Hiking,Injured,44.2116,-73.88073,2800,FALSE,Assist/own power,1,TRUE,Forest Preserve,High Peaks,ESSEX,NORTH ELBA,TRUE,FALSE,3/18/2014,5:00 AM,430,275,POINT (-73.88073 44.2116),2084
NY-2014-WS-020,8,Search,3/14/2014,12:00 PM,1,F,37,NY,US,Despondent,Missing,42.81859,-77.82659,527,FALSE,Carry out by foot,10,TRUE,Private Land,none,LIVINGSTON,GENESEO,FALSE,FALSE,6/19/2014,9:32 AM,732,371,POINT (-77.82659 42.81859),2091
NY-2014-WS-019,6,Rescue,3/10/2014,1:53 AM,1,F,30,NY,US,Hiking,Injured,43.44165,-74.54527,2322,TRUE,Carry out by foot,6,TRUE,Forest Preserve,Fulton Chain Mt Range,HERKIMER,WEBB,TRUE,FALSE,3/10/2014,8:45 AM,870,1306,POINT (-74.54527 43.44165),622
NY-2014-WS-018,5,Search,3/7/2014,7:55 AM,1,M,62,NY,US,Snowmobile,Lost,43.43331,-74.49002,1723,FALSE,Assist/own power,3,TRUE,Forest Preserve,Ferris Lk Wild Forest,FULTON,STRATFORD,TRUE,FALSE,3/7/2014,9:20 AM,870,1306,POINT (-74.49002 43.43331),622
NY-2014-WS-017,5,Rescue,3/2/2014,12:03 PM,1,M,43,NY,US,Snowmobile,Injured,43.48945,-74.40511,1797,FALSE,Carry out by foot,1,TRUE,Forest Preserve,Moose River Plains Wild Forest,HAMILTON,LONG LAKE,TRUE,FALSE,3/2/2014,11:40 AM,865,1287,POINT (-74.40511 43.48945),622
NY-2014-WS-016,1,Search,2/27/2014,7:50 AM,1,M,26,NY,US,Off road vehicle/ATV,Missing,40.93216,-72.67741,39,FALSE,,3,TRUE,Other DEC Land,Peconic Headwaters,SUFFOLK,RIVERHEAD,FALSE,FALSE,2/27/2014,2:00 AM,1017,1530,POINT (-72.67741 40.93216),2179
